Property_ID,Location,Type,Price,Bedrooms,Bathrooms,Size_sqft,Year_Built,Sold,Date_Added,Agent_ID,Parking_Spaces,HOA_Fees,Lot_Size_acres,Energy_Rating,Days_on_Market
P-7433,Smithmouth,Condo,614319,3,1,1045,1970,1,2022-08-19,6baf1fe6,0,300.98,1.96,3,21
P-7434,South Joseph,Apartment,329352,3,2,685,1927,0,2022-05-14,d246b2e4,2,284.49,3.06,2,365
P-7435,North Peterhaven,Condo,157797,4,1,3259,1978,0,2024-03-14,aa610c64,2,457.6,2.64,4,614
P-7436,Deannaburgh,Apartment,307575,1,1,3964,2022,0,2024-01-02,9af92577,2,383.5,3.52,1,590
P-7437,Port Samanthahaven,Apartment,941684,4,4,4676,1961,1,2022-11-20,e1e362d2,0,103.01,0.75,3,76
P-7438,Lake Meganborough,Condo,302275,3,1,1004,2016,1,2022-02-03,b13446e0,4,255.11,0.71,5,84
P-7439,Jerrybury,Condo,439596,4,3,4466,2019,1,2023-04-27,908ebf5d,0,374.5,3.27,5,629
P-7440,New Feliciaville,Condo,417429,3,1,4054,1930,0,2021-12-22,d919835f,4,497.79,2.56,2,53
P-7441,Gracebury,House,949521,2,1,4995,1902,1,2022-03-22,d16b5c37,3,4.93,2.7,2,199
P-7442,Lake Latoyahaven,Condo,318721,4,2,3479,1901,0,2022-08-15,09a18c4d,4,110.3,4.19,5,170
P-7443,West Joshua,House,326673,1,4,3625,1922,1,2023-08-05,9f64eeb6,0,171.82,4.22,5,682
P-7444,Gardnerhaven,Apartment,307859,4,2,1243,1957,0,2024-05-08,1cd420bb,0,165.6,0.4,2,234
P-7445,North Ashleyborough,Condo,919680,3,2,4834,1905,1,2022-12-06,2ddf2437,4,356.72,1.67,5,229
P-7446,South Davidshire,House,1033408,5,1,3150,1958,1,2022-09-18,3193abe4,2,468.59,3.01,5,639
P-7447,Dixonborough,Apartment,429299,5,2,4059,1923,1,2022-10-27,f45b11d8,4,350.28,2.43,2,607
P-7448,South Wendyview,Condo,814335,1,3,1406,1949,1,2023-10-21,48cba711,1,381.32,1.64,3,579
P-7449,Hortonville,Condo,613052,2,2,4386,1913,1,2024-11-18,c62313b2,0,223.57,4.67,2,448
P-7450,Nicoleview,House,353574,5,1,4577,1900,1,2022-06-30,cb82315e,5,449.37,1.89,1,69
P-7451,New Nancytown,House,658982,3,2,4803,1946,0,2022-12-23,7e2b4bc5,4,162.65,4.26,2,149
P-7452,Solisland,Apartment,685365,2,3,3774,1910,0,2024-10-14,d49835bd,4,47.94,0.12,1,383
P-7453,East Arianaland,Condo,791164,3,2,1980,1963,0,2023-10-03,80bfa5c1,2,404.94,3.15,4,540
P-7454,Nicholashaven,House,130426,5,3,3457,1908,0,2022-03-05,49931fb7,1,33.22,0.82,1,140
P-7455,Benjaminport,Apartment,426393,4,4,2796,1918,0,2024-02-17,0c1aafb5,0,30.48,1.36,5,474
P-7456,Christianton,Condo,728759,4,3,1645,2015,0,2024-08-28,d8c41bbd,4,293.13,4.5,1,242
P-7457,Peterstown,House,389378,5,3,1497,1918,1,2024-10-18,f1bc7d5c,2,423.5,3.25,3,256
P-7458,Kathymouth,House,961078,4,4,1517,1948,1,2024-09-01,1af9adbe,2,238.31,2.27,5,194
P-7459,Davidville,House,248699,4,2,1202,1984,1,2024-01-05,cf7694dc,3,44.7,4.84,4,246
P-7460,East Joshuaton,Condo,701754,4,3,1314,1903,1,2022-12-05,534479a3,0,13.66,0.87,1,428
P-7461,Camposland,Condo,716059,1,1,3816,1949,1,2022-09-12,05c131eb,4,244.14,3.7,5,283
P-7462,East Jacqueline,House,918458,4,1,854,2012,1,2023-06-06,beeb74c3,0,424.01,3.02,1,198
P-7463,Markfurt,House,977239,5,2,2818,2022,0,2022-03-05,aaae2119,1,317.6,3.85,4,90
P-7464,Jamesmouth,Apartment,375929,2,3,2975,1964,0,2023-01-06,16a5b781,2,327.28,0.31,3,169
P-7465,Edwinmouth,Apartment,412393,3,3,754,2004,1,2022-05-22,004ee73a,4,163.02,2.18,2,606
P-7466,New Brianberg,House,890959,5,4,4634,2005,0,2023-04-18,6f4e1706,3,207.98,2.83,5,664
P-7467,Scottchester,Condo,170058,1,3,4499,1978,1,2022-07-21,3438e6da,3,490.02,4.29,5,474
P-7468,West Andrew,Apartment,802177,2,2,4354,2002,0,2023-10-12,58f564b4,4,9.59,1.97,1,656
P-7469,Lake Nicholas,Condo,608915,2,2,3277,1915,1,2023-08-07,db48beaf,4,163.51,1.22,3,329
P-7470,Jennyhaven,Apartment,653610,2,2,3546,1925,0,2022-04-15,ffdbb469,5,135.79,1.57,3,475
P-7471,Higginsside,House,749188,4,1,3188,1949,1,2023-06-02,8df9f307,3,481.33,1.79,5,355
P-7472,Stewartmouth,Condo,100309,3,1,1910,1903,0,2024-08-23,61ac3041,0,464.57,1.14,3,209
P-7473,Richardmouth,House,359476,5,2,792,1965,0,2022-09-21,3b983713,2,63.8,2.14,3,125
P-7474,Hollandfort,Condo,436514,3,1,2719,1992,1,2022-02-23,79c5404c,5,232.96,2.63,5,703
P-7475,Powersburgh,Apartment,109106,2,2,4384,1950,1,2024-02-14,82220ceb,1,459.9,0.26,3,110
P-7476,Port Austinstad,House,473764,3,3,942,1948,1,2023-12-23,b81e7829,3,215.34,0.61,1,476
P-7477,North Michael,House,876738,1,2,4711,1995,0,2022-10-23,f4ece79b,3,107.79,2.16,3,714
P-7478,Vasquezton,Apartment,138524,3,1,1844,1941,0,2024-08-30,ecf60db0,2,42.5,4.55,2,323
P-7479,South Taylor,House,1031061,4,4,4852,2020,0,2021-12-31,2876f6f9,2,59.27,4.08,4,294
P-7480,Dawnburgh,House,959561,4,1,3733,1964,0,2024-03-25,f91edf12,4,24.92,3.61,2,276
P-7481,Hernandezmouth,House,730190,4,2,2878,1991,0,2023-01-17,b845be40,0,470.58,0.88,3,634
P-7482,Jamesport,Condo,473696,2,1,1836,1945,1,2022-02-09,a44d8650,1,228.21,0.48,2,81
P-7483,Floresburgh,Condo,386763,4,1,627,1951,1,2024-05-20,ddab5d08,2,38.99,0.14,1,366
P-7484,Olsonmouth,Apartment,264497,2,4,3496,1922,1,2024-04-23,ec4d7f88,5,220.58,3.19,2,222
P-7485,Millerburgh,Condo,1052481,5,4,2881,2007,0,2023-12-11,56c60af9,4,198.52,4.26,2,19
P-7486,Fieldsfurt,Apartment,464318,3,2,1599,1905,0,2022-12-03,9ebbbc10,4,57.54,3.64,1,265
P-7487,New Colinborough,Apartment,739473,2,2,4252,1949,1,2022-12-09,af9df7b1,2,198.18,4.33,1,281
P-7488,Frankbury,Condo,258076,2,2,3224,1951,0,2023-11-23,d860f5d7,5,40.88,0.39,1,350
P-7489,Edwardsfurt,Apartment,249591,2,1,4313,1963,0,2023-12-29,974031a5,2,350.04,3.61,5,375
P-7490,Johnathanberg,Condo,445285,4,4,1168,1995,1,2022-07-23,a7831250,2,283.66,2.93,4,621
P-7491,Aprilmouth,Apartment,990500,2,4,2636,1974,0,2024-07-13,d37dcd4d,4,173.12,2.03,4,275
P-7492,East Isaacville,Condo,326905,4,1,2202,2011,1,2023-03-19,d1472a3f,1,494.3,2.21,4,369
P-7493,Sheliaton,Apartment,644365,4,1,3433,1933,0,2023-11-04,4062c889,5,400.89,0.73,2,317
P-7494,New Lisamouth,Apartment,659399,1,1,2996,1991,0,2022-04-17,6d22d863,4,148.65,0.87,3,505
P-7495,Davidstad,Apartment,432157,1,3,2825,1962,1,2023-08-14,f7c009f9,3,97.04,1.42,1,660
P-7496,Jeffreyhaven,Condo,129535,5,3,1095,1961,0,2024-09-30,16abccc2,2,112.63,4.69,5,486
P-7497,East Bryan,Apartment,917977,3,2,4798,2003,0,2022-02-03,c82ac4a2,2,423.95,4.8,2,545
P-7498,Jordanfort,Condo,411290,2,1,4729,1952,0,2022-06-29,ee78699e,3,61.9,0.75,5,142
P-7499,Port Mirandashire,Apartment,122311,2,3,2838,1976,1,2023-09-23,362180ae,0,356.8,4.12,3,718
P-7500,East Jamesfurt,House,512160,3,1,3150,1933,0,2021-12-17,a65dfd7e,2,332.55,3.39,2,550
P-7501,Lake Christopherville,House,501113,5,2,2408,2019,0,2022-06-29,6f33f91e,1,486.8,3.12,2,185
P-7502,South Katherinebury,House,1003178,2,3,3433,2001,0,2022-05-10,addd7580,2,110.76,0.28,4,616
P-7503,New Jasmine,Apartment,925694,3,3,2510,1987,1,2022-12-30,7493aad6,3,485.86,0.54,3,489
P-7504,Schultzmouth,Condo,783376,5,4,4747,1970,1,2022-12-18,4f29f159,1,296.89,1.23,3,600
P-7505,Craigberg,House,412289,5,4,2367,1917,0,2023-11-05,2f2319db,0,426.19,2.02,3,162
P-7506,Priscillaberg,Condo,293212,2,3,872,1989,0,2024-06-26,01e17642,0,124.32,4.28,1,431
P-7507,North David,House,316016,5,3,977,1904,0,2022-07-29,51010df5,2,416.94,4.81,4,551
P-7508,North Robert,Condo,720349,3,1,508,1926,1,2022-05-18,e47c7026,4,54.72,1.08,3,679
P-7509,New Matthewville,Apartment,469633,3,1,563,2015,1,2023-06-04,d7969be1,5,116.34,1.13,4,730
P-7510,Lake Alexisshire,Condo,979972,5,3,4453,1996,1,2023-01-08,1899f475,1,25.83,3.14,2,155
P-7511,Dianabury,House,91642,1,4,881,1960,1,2022-03-05,acd2e933,3,425.87,4.36,4,324
P-7512,Lake Sharon,Apartment,693554,2,3,1389,2015,1,2024-05-18,e462145f,5,142.57,3.16,2,614
P-7513,Duncanmouth,Apartment,98531,5,1,1003,1918,0,2023-10-03,2ed5de8c,2,27.25,4.32,4,679
P-7514,Cruzport,Apartment,871676,1,4,1995,2011,1,2024-08-17,0830457c,0,298.85,1.22,2,273
P-7515,Port Markland,House,743387,2,3,4682,1963,0,2022-11-06,f9091e8f,4,108.33,4.6,3,702
P-7516,Lake Wanda,House,87971,2,1,4868,1997,1,2024-10-03,2e5ae51f,5,182.49,2,1,500
P-7517,Leonchester,Condo,439240,4,3,2062,1983,1,2023-12-05,e2b69016,3,339.68,2.46,4,607
P-7518,Rittertown,Condo,375021,5,1,4764,1974,0,2022-05-30,7d45c6dd,0,214.57,1.54,4,446
P-7519,North Scott,House,238533,2,3,2180,1979,0,2023-03-15,7c1e3187,3,267.39,2.57,4,201
P-7520,Riceport,Condo,678222,2,1,4536,1990,1,2023-05-02,7d8ba833,3,40.87,2.65,1,66
P-7521,Brownberg,Apartment,546265,5,4,1725,1984,0,2024-07-26,74a97ab1,2,172.55,0.44,1,441
P-7522,West Rodney,Apartment,236798,1,4,4465,1931,1,2023-08-04,48c596e1,4,10.41,0.13,5,649
P-7523,Davidberg,Condo,135650,3,4,3623,1901,1,2023-11-11,04e91f74,4,130.09,0.8,4,109
P-7524,Port Katelyn,House,703148,2,1,2268,2023,0,2024-01-08,fc89745e,5,429.46,1.62,3,364
P-7525,South Michelleshire,House,1000133,2,1,3640,1908,0,2023-09-30,38a50e6c,5,409.89,0.11,5,677
P-7526,New Jessicamouth,Condo,957439,1,3,1703,2023,1,2023-05-27,9caec06c,4,439.19,2.93,2,444
P-7527,North Garyhaven,Condo,412862,3,1,1453,2008,1,2022-12-14,30bc73c6,1,148.78,3.32,4,444
P-7528,Wallacefurt,Condo,729733,1,2,3541,2006,1,2023-09-20,659fe1c8,3,73.51,3.99,3,720
P-7529,West Michaelville,House,612548,4,2,4969,1910,1,2023-09-24,e3933f4b,0,404.97,0.39,3,590
P-7530,Martinstad,Apartment,827245,2,1,4767,1982,1,2022-11-12,4875fcbf,1,23.31,4.1,3,445
P-7531,Miguelhaven,Condo,893961,5,4,4531,2005,0,2023-12-30,ea529330,0,243.03,0.48,5,552
P-7532,North Markland,Condo,935865,1,3,1866,1941,1,2022-01-24,48c28d80,4,424.55,3.19,3,442
P-7533,West Kristin,Apartment,724183,1,3,2233,1941,0,2024-01-11,a2e2b37e,5,196.49,2.52,2,574
P-7534,Wilsonstad,Condo,427609,3,4,621,1985,1,2022-04-25,f7763938,3,186.35,2.83,4,676
P-7535,Chanmouth,House,1003155,4,2,4362,1910,0,2024-06-20,2aa96da9,0,80.56,4.45,5,184
P-7536,West Cory,Condo,915671,1,2,3598,1991,1,2022-06-15,6c2f222a,0,160.75,0.79,4,710
P-7537,Edwardmouth,Condo,521347,5,4,4660,1997,1,2023-05-12,f6f5eeb7,1,316.63,0.53,5,148
P-7538,East Joseph,Apartment,977183,3,2,3698,1934,1,2022-05-06,0717ec21,0,328.91,3.94,1,589
P-7539,Cynthiamouth,Apartment,251091,2,4,4223,2012,1,2023-08-04,35bb252c,0,123.55,4.27,5,381
P-7540,Michaelville,Condo,878234,5,1,3800,1959,1,2022-02-25,7a235648,2,176.94,4.33,2,335
P-7541,North Rebekah,Apartment,813420,4,3,3009,1919,1,2022-09-01,876de2ab,4,30.23,4.14,1,514
P-7542,Warehaven,Apartment,914191,2,3,4381,2005,1,2022-12-19,50ec5ec7,4,331.86,0.88,4,34
P-7543,New Autumn,House,438873,3,3,2806,1935,0,2023-05-29,ad7ade1f,1,367.62,2.43,2,439
P-7544,East Cherylmouth,Condo,786699,1,1,1566,1915,0,2022-03-12,303b8d77,2,476.39,3.42,2,111
P-7545,Tuckerfurt,Condo,640279,4,4,1115,1953,0,2021-12-02,def86a6d,4,455.06,0.38,5,124
P-7546,Lindaside,Condo,998597,5,1,1245,1970,1,2024-03-27,9c644171,0,325.39,2.78,2,18
P-7547,New Lorifurt,House,830219,3,1,1196,1995,1,2021-12-18,d154224a,2,475.54,4.68,1,354
P-7548,Kendraton,Apartment,1010258,5,4,1045,2013,0,2023-04-28,d3242a51,4,371.11,3.29,2,442
P-7549,Stephanieville,Apartment,642936,2,4,3239,2013,0,2022-12-22,fbd28195,3,118.83,4.88,5,655
P-7550,East Brandon,House,938396,1,3,2936,1967,1,2022-01-26,1e78dbb8,5,258.11,3.03,4,592
P-7551,Samanthatown,Apartment,865818,4,1,1185,1914,1,2023-08-08,318e4c76,2,299.19,0.78,5,54
P-7552,Guerraburgh,Condo,753717,3,4,1917,1959,0,2023-09-11,10586c61,5,316.45,3.72,3,603
P-7553,Brownville,House,732838,3,1,3359,1962,0,2022-02-09,fec7220f,4,37.91,0.11,4,196
P-7554,Larsonbury,House,595920,4,1,1247,1926,0,2022-04-01,8ad64b4b,0,335.51,0.75,2,223
P-7555,Roseville,Apartment,675405,3,2,2964,2014,1,2023-10-05,e5b99bda,3,277.65,3.84,3,576
P-7556,Christopherberg,Condo,815634,4,3,2139,1964,1,2023-09-14,25cd4705,2,236.41,2.58,4,144
P-7557,Susanshire,Condo,181938,2,2,2002,1967,0,2023-09-03,896fc3a9,1,333.5,0.63,4,296
P-7558,Lake Maria,Condo,979462,2,3,1237,1997,0,2023-03-15,430ff381,3,385.29,4.25,2,278
P-7559,Georgeberg,House,232766,3,2,2970,1972,0,2024-06-02,7303c998,5,470.16,3.17,2,302
P-7560,North Elizabethview,Apartment,560737,4,2,2606,1993,0,2022-09-19,7ce52949,4,192.26,0.78,3,159
P-7561,Larryville,Apartment,685518,5,1,1910,1927,0,2022-02-10,4439c054,1,182.3,1.18,4,169
P-7562,Lake Stevenstad,Condo,370869,5,3,3543,1913,0,2022-07-09,9f7505de,0,275.8,1.57,5,562
P-7563,Juliaside,Apartment,607145,5,4,2678,1980,1,2023-06-30,2182588b,1,192.49,3.69,3,56
P-7564,Jacksonfurt,Apartment,702126,1,4,2485,1923,0,2022-03-21,b673c552,2,476.21,2.94,5,28
P-7565,Lake Amyhaven,House,631711,2,2,2401,1920,0,2024-02-01,a11cc41f,2,451.59,2.1,1,300
P-7566,New Stephanie,Apartment,207104,5,4,1773,1918,1,2023-01-01,08de52c5,0,446.49,4.47,5,497
P-7567,Lake Timothyborough,House,129319,3,3,1606,1981,1,2022-07-02,f32e64d7,4,459.83,1.69,1,80
P-7568,South Shawnchester,Apartment,168085,1,3,746,1969,0,2022-10-16,fb0bdffb,2,412.48,0.61,1,361
P-7569,East Christopherbury,Apartment,1007983,2,4,4749,1942,0,2023-02-14,2e9ecdd5,5,475.27,2.01,3,185
P-7570,Brandonfort,Condo,328219,5,1,3769,1925,0,2023-08-09,dac4cba0,0,291.11,3.28,5,349
P-7571,New Andrewview,House,717185,2,4,2873,1996,1,2022-10-04,8b49eb43,1,395,4.15,4,472
P-7572,Jasonmouth,House,853687,4,2,4281,1947,0,2024-05-22,debc1ba8,1,175.03,1.61,4,465
P-7573,Lake Joshuachester,House,1033049,3,1,2665,1985,1,2023-09-18,367b5033,3,8.39,4.37,4,696
P-7574,Port Wesleyburgh,Condo,365197,5,2,699,1996,1,2024-07-30,5c6c871e,4,181.14,4.98,2,225
P-7575,Jasonton,Condo,611915,4,1,4734,2019,0,2022-06-02,362c3167,1,94.14,4.35,5,121
P-7576,Timothyport,Condo,830483,4,2,3908,2006,1,2023-12-15,2f15b238,0,482.79,2.47,1,137
P-7577,South Mark,House,843589,5,2,831,1968,1,2023-02-22,d636f5c1,2,308.8,3.93,1,341
P-7578,New Brooke,House,620154,3,2,1239,1988,1,2024-08-06,59198668,2,407.35,0.4,1,103
P-7579,Danieltown,Condo,520746,1,2,1865,1992,1,2022-10-20,0664a265,5,20.64,4.91,1,730
P-7580,Washingtonmouth,Condo,373658,4,2,4174,1994,0,2023-07-07,91c4291b,0,494.24,1.85,5,59
P-7581,Blevinsfurt,House,770282,2,1,1239,1918,1,2024-03-06,48bcd83f,1,414.39,3.26,1,422
P-7582,Ryanmouth,Condo,758466,4,1,4158,2020,1,2023-01-02,19a9cea6,5,169.84,1.79,2,319
P-7583,North Timothyburgh,Apartment,1046708,1,1,1698,1992,1,2022-01-26,a78d0427,1,162.77,1.94,3,655
P-7584,Pamelahaven,Condo,700945,2,3,4792,1948,0,2024-11-11,5e8393d2,3,124.01,2.46,1,51
P-7585,Lake Lynn,Apartment,236201,1,4,907,1996,1,2022-11-05,263a23df,1,370.84,0.27,2,7
P-7586,Donaldhaven,Condo,729946,1,2,1826,1988,0,2024-04-27,4b20b331,3,392.82,0.27,3,344
P-7587,West Sheila,Apartment,763273,2,2,4977,1959,1,2024-03-11,ab58fc5d,3,346.36,4.54,5,272
P-7588,West Scottport,Apartment,610157,3,4,540,1963,0,2022-01-05,750ebfe4,0,125.26,4.15,5,7
P-7589,Kristenberg,Apartment,841523,4,1,3531,1953,0,2022-12-24,26bec56c,4,399.57,3.65,1,393
P-7590,Welchtown,Apartment,977925,3,2,1171,2003,0,2023-05-15,bb812a62,1,194.54,0.18,2,540
P-7591,West Lindseychester,House,705681,3,1,1052,1987,0,2024-10-15,fedf2e49,3,25.71,1.73,5,327
P-7592,Grayborough,House,354922,4,1,2687,1915,1,2024-06-14,c5271cab,1,189.06,1.96,5,86
P-7593,West Chadfurt,Condo,373434,3,3,557,1909,1,2024-01-27,c42ce8c1,2,136.67,3.98,1,83
P-7594,North Mathew,Apartment,426373,1,4,2040,2019,1,2023-07-02,8ce36f2e,4,414.07,3.48,1,629
P-7595,South Elizabeth,Apartment,256215,5,1,4186,1943,0,2022-02-13,11620632,2,283.32,4.83,2,34
P-7596,West Nancymouth,Apartment,682957,2,2,3069,1922,1,2024-02-01,2381274e,5,74.77,2.53,4,618
P-7597,Andrewtown,House,590342,1,2,4079,1976,1,2023-08-26,75afa1c5,1,246.54,2.15,1,247
P-7598,North Sarah,Apartment,565037,4,1,622,1958,1,2024-01-14,2f99ba3e,4,235.76,0.22,4,594
P-7599,Riveraborough,House,406321,2,2,3215,1988,1,2023-06-17,c708c4b1,5,374.17,1.43,5,581
P-7600,North Nicholas,Apartment,783524,5,3,3563,2020,0,2022-11-17,46748469,1,437.8,1,2,675
P-7601,Michelleborough,Apartment,223211,2,3,1090,1966,0,2022-02-02,b73fb242,2,69.53,0.57,4,49
P-7602,Lake Kyle,House,744409,5,1,2864,2017,1,2023-07-24,fca91f4b,3,473.25,1.46,4,710
P-7603,West John,House,314711,5,3,1600,1903,1,2024-10-19,2b998971,1,102.36,3.61,2,58
P-7604,North Glenside,Apartment,663267,3,3,1209,2000,1,2022-05-27,1d53ce2f,4,423.76,1.1,2,625
P-7605,East Amandamouth,House,227748,2,4,3450,2016,1,2022-08-09,29d700ba,5,16.56,0.94,2,713
P-7606,Lindsayfurt,Apartment,135440,2,4,4237,1921,0,2023-09-28,23ed6a14,4,329.08,1.46,2,493
P-7607,Amandashire,Apartment,460912,5,4,972,1926,1,2023-10-30,217adf1f,4,404.24,0.16,4,155
P-7608,Staceybury,House,592692,1,1,2799,2020,1,2022-06-19,e6b59394,0,372.87,4.84,3,291
P-7609,Benjamintown,House,656372,3,2,3163,2015,1,2022-10-21,58fb2cab,0,191.89,1.13,3,358
P-7610,New Marc,House,705524,3,1,1409,2011,1,2023-02-03,db44439a,2,430.94,4.78,5,199
P-7611,West Heidi,House,180961,3,1,827,2006,0,2024-08-30,f49bbe13,2,323.15,3.06,1,692
P-7612,North Angelaview,House,777618,4,1,4332,1988,1,2022-04-05,e5d71258,2,206.24,2.1,4,415
P-7613,North Steven,Condo,253401,3,2,1301,1911,1,2024-02-11,97b7bbd8,0,185.16,1.33,1,75
P-7614,North Thomasview,House,821068,2,2,2779,1903,1,2022-08-12,94564070,5,7.18,1.27,3,597
P-7615,Port Linda,House,555564,4,1,3294,2011,0,2022-10-20,07bebc11,1,429.18,0.42,2,295
P-7616,Gonzalezmouth,House,166597,3,2,1320,1900,1,2021-12-05,6d32343d,4,469.28,1.01,4,196
P-7617,Lake Andrew,House,563324,1,1,1622,1934,1,2024-04-22,b83d83f3,2,435.93,3.84,2,310
P-7618,Lake James,Condo,556966,1,2,4809,1990,1,2022-07-30,e96dbd79,4,13.55,1.26,3,584
P-7619,South Markland,Condo,544259,2,1,4319,2018,0,2023-04-18,98178a0b,3,61.65,2.7,5,152
P-7620,Hubbardmouth,Condo,919564,1,2,4287,1933,0,2022-01-23,98d6695f,4,233.99,2.09,1,493
P-7621,Jillland,House,1027468,1,2,4956,1940,1,2022-06-28,7f3f81ff,4,56.38,1.28,5,696
P-7622,Lake Michelle,Condo,327968,3,2,4495,1930,1,2024-03-02,ba457b26,4,248.55,3.15,1,385
P-7623,Millsport,House,148313,1,1,1018,1931,0,2022-07-21,b3dcdf74,0,172.91,3.39,1,327
P-7624,East Robertborough,House,913433,2,4,3250,1941,0,2023-02-24,a078d209,4,415.28,1.52,1,272
P-7625,West Justin,Condo,951470,1,4,3060,2004,0,2023-02-09,33a06f64,0,465.26,2.28,1,287
P-7626,Joanstad,House,573030,3,4,983,2000,0,2022-04-17,e5db6838,5,81.18,4.66,1,308
P-7627,Jessicafort,Apartment,518194,5,3,4617,1922,0,2023-09-27,ae8e85e8,2,139.26,0.65,3,669
P-7628,Port Kristintown,Condo,531577,2,4,639,1910,0,2024-04-15,b4a4595d,3,116.96,0.56,1,30
P-7629,Katherineshire,House,1049092,4,2,2426,1937,1,2022-01-15,89a605aa,3,52.63,2.52,4,723
P-7630,East Melissaland,Apartment,229617,5,3,755,1935,1,2021-12-27,0c4a981a,0,183.38,4.9,3,150
P-7631,South Curtis,House,784513,1,1,1308,1921,0,2022-02-19,c651dc3d,2,55.61,4.71,3,74
P-7632,Randallport,Condo,379297,3,2,3412,1957,0,2022-05-03,853b99a3,2,426.13,3.58,2,82
P-7633,South Angela,Condo,157212,3,3,3314,1956,0,2022-01-02,4e51efba,3,36.78,2.09,4,463
P-7634,North Angela,House,914876,2,1,2064,1970,1,2023-03-10,8ef12966,0,480.85,3.75,5,419
P-7635,Lawrenceview,Apartment,119726,5,1,4061,1906,0,2023-09-30,ff443c1e,0,308.07,1.62,5,110
P-7636,North Amy,Apartment,604262,4,1,3309,2010,1,2023-10-01,b1b0d4f0,0,241.04,2,4,15
P-7637,Johnsonfurt,Condo,1007224,1,2,3308,1987,0,2024-07-02,8c1151a7,3,168.34,1.72,4,620
P-7638,East Brittanybury,Condo,335726,5,1,1851,1938,1,2022-06-16,5c719a22,0,48.63,0.11,1,485
P-7639,New Scottport,House,330202,4,3,3911,2004,0,2024-02-03,7db55868,2,267.6,2.99,1,217
P-7640,North Lisaville,Apartment,400367,3,3,859,1925,1,2023-11-16,0192c059,5,139.89,4.8,4,586
P-7641,Port Andreaport,Condo,841988,4,1,3657,1975,1,2023-10-16,b5aeb154,0,361.57,2.54,1,387
P-7642,Stephenside,Condo,494851,5,3,4329,1941,1,2024-04-24,db6e4b05,5,416.29,1.44,4,325
P-7643,Charlesbury,House,821200,2,3,4808,1902,1,2023-10-08,9e53e8eb,2,339.91,1.71,3,508
P-7644,North Jane,Apartment,589246,4,4,2327,1953,0,2024-05-11,d5a6a1e8,5,488.28,1.13,2,128
P-7645,South Kathleen,House,327393,5,3,1321,1938,0,2023-02-15,6b7eecce,1,11.58,1.56,1,163
P-7646,Tinastad,Apartment,256484,1,1,2564,1931,0,2024-03-16,3d6a080f,4,428.63,3.82,5,183
P-7647,Michaelberg,House,467909,2,2,2976,1934,1,2024-07-17,7b6b8412,1,245.04,2.47,3,302
P-7648,Lake Michaelside,House,145611,1,2,1815,1979,1,2023-03-27,7bd314f7,4,123.68,3.31,1,707
P-7649,Kennedyshire,Condo,764448,1,1,4573,2006,0,2021-12-03,860d77c6,4,443.02,0.9,3,428
P-7650,Amyland,Condo,971890,1,4,1782,2016,1,2023-09-17,1a4a143d,5,330.01,4.16,5,172
P-7651,East Kevin,Condo,411478,1,1,2508,2017,0,2022-12-31,18b2d831,1,279.45,0.4,3,283
P-7652,North David,Apartment,798771,3,2,3421,1919,1,2024-07-23,11829652,3,343.76,3.56,4,537
P-7653,Darlenemouth,Condo,123143,5,4,1143,2000,1,2024-09-04,2c9b20a9,2,265.75,0.62,4,313
P-7654,Gomezchester,Condo,535180,4,2,3759,2015,1,2023-07-16,b96e4dfb,2,28.19,4.67,4,563
P-7655,Edwardshire,Apartment,709038,3,4,3997,1975,1,2023-02-15,b0dec521,3,34.23,0.23,2,259
P-7656,Baldwinmouth,House,980639,1,3,2407,1962,0,2024-04-12,b7a131f5,4,27.41,0.97,3,476
P-7657,Port Timothyside,Apartment,885349,4,4,3985,1928,1,2024-04-24,fcffa28d,0,263.61,4.88,2,552
P-7658,North Kimberly,Apartment,620581,3,2,931,2020,0,2023-04-19,d344a574,0,379.84,0.12,5,224
P-7659,Lake Kristin,Apartment,904870,2,4,3727,1952,1,2023-11-03,8a04f263,5,290.27,0.8,4,122
P-7660,Port Jeremy,Condo,740393,3,2,3866,1954,0,2024-04-17,1f7652bf,4,254.95,4.85,4,283
P-7661,Thompsonborough,House,999056,2,2,3704,1998,1,2022-11-12,659c2bf0,1,29.01,4.06,5,551
P-7662,Yangton,House,168280,3,4,4689,1939,1,2024-10-05,f8b3143d,4,232.07,2.35,4,412
P-7663,Jenniferview,Apartment,701983,4,2,2575,1926,0,2022-03-15,67e373d8,2,142.47,1.23,3,21
P-7664,Terrishire,Condo,745345,4,4,3870,1999,1,2024-01-12,8bef3ab3,0,281.01,1.2,2,589
P-7665,East Jacob,Condo,575680,2,1,2710,1944,0,2022-06-05,524e2aaa,5,460.59,3.71,1,472
P-7666,Heidiville,Condo,441795,3,4,3474,1965,0,2024-08-17,428b7f68,0,355.23,2.01,4,95
P-7667,Stoneland,Apartment,552933,5,3,2486,1939,0,2024-04-19,ce0ebe19,1,79.03,0.67,5,566
P-7668,Griffinville,Apartment,131953,4,2,3232,2003,1,2022-05-25,a9ba08f8,5,397.89,0.97,1,666
P-7669,Barbaraville,House,158703,5,2,1387,2009,1,2022-04-20,ce8eb706,1,54.6,4.96,1,680
P-7670,Port Randallburgh,Condo,521206,3,3,1008,1997,0,2024-01-17,a61d4b75,0,476.46,1.84,4,696
P-7671,Port Vanessaton,House,609227,5,4,3428,1956,1,2023-09-13,62762726,5,429.85,3.27,2,316
